model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,condition,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price
"Jeep Compass, 2019",2019,32 000 км,серый,9 000  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.4 л,180 л.с.,бензиновый ,АИ-95 ,8.8 с,9.4 л,США ,C ,?,?,2 525 000 
"Mercedes-Benz GLE 300 d, 2019",2019,19 900 км,чёрный,18 375  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,245 л.с.,дизельный ,ДТ ,7.2 с,6.4 л,Германия ,E ,225 км/ч,Euro 6 ,6 999 000 
"Renault Logan, 2016",2016,86 918 км,белый,2 550  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,102 л.с.,бензиновый ,АИ-95 ,10.5 с,7.1 л,Франция ,B ,180 км/ч,Euro 5 ,780 000 
"Haval F7, 2023",2023,16 189 км,синий,5 250  / год,роботизированная,полный,Не требует ремонта,1 владелец,1.5 л,150 л.с.,бензиновый ,АИ-95 ,11.0 с,8.4 л,Китай ,C ,180 км/ч,Euro 5 ,2 625 000 
"Volkswagen Tiguan, 2015",2015,146 047 км,коричневый,5 250  / год,роботизированная,передний,Не требует ремонта,3 или более,1.4 л,150 л.с.,бензиновый ,АИ-95 ,9.3 с,6.7 л,Германия ,C ,196 км/ч,Euro 6 ,1 380 000 
"Infiniti QX50, 2019",2019,55 000 км,синий,18 675  / год,вариатор,полный,Не требует ремонта,1 владелец,2.0 л,249 л.с.,бензиновый ,АИ-95 ,7.3 с,8.6 л,Япония ,D ,220 км/ч,?,3 600 000 
"Bentley Continental GT, 2018",2018,71 000 км,чёрный,285 750  / год,роботизированная,полный,Не требует ремонта,2 владельца,6.0 л,635 л.с.,бензиновый ,АИ-95 ,3.7 с,12.2 л,Великобритания ,S ,333 км/ч,Euro 6 ,20 000 000 
"Hyundai Solaris, 2018",2018,329 847 км,белый,3 075  / год,автоматическая,передний,Не требует ремонта,3 или более,1.6 л,123 л.с.,бензиновый ,АИ-92 ,11.2 с,6.6 л,Южная Корея ,B ,192 км/ч,Euro 5 ,850 000 
"Hyundai Solaris, 2018",2018,89 577 км,серебристый,3 075  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-92 ,11.2 с,6.6 л,Южная Корея ,B ,192 км/ч,Euro 5 ,1 449 000 
"Hyundai Solaris, 2019",2019,78 900 км,чёрный,3 075  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-92 ,11.2 с,6.6 л,Южная Корея ,B ,192 км/ч,Euro 5 ,1 363 000 
"Audi A7 55 TFSI, 2019",2019,72 130 км,белый,51 000  / год,роботизированная,полный,Не требует ремонта,2 владельца,3.0 л,340 л.с.,бензиновый ,АИ-95 ,5.3 с,6.8 л,Германия ,E ,250 км/ч,Euro 6 ,6 400 000 
"Hyundai Solaris, 2021",2021,55 462 км,чёрный,4 182  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-92 ,10.3 с,6.3 л,Южная Корея ,B ,193 км/ч,Euro 5 ,1 499 000 
"Audi RS 6, 2020",2020,72 000 км,серебристый,90 000  / год,автоматическая,полный,Не требует ремонта,1 владелец,4.0 л,600 л.с.,бензиновый ,АИ-98 ,3.6 с,11.7 л,Германия ,E ,250 км/ч,Euro 6 ,12 500 000 
"Toyota Land Cruiser, 2011",2011,283 865 км,чёрный,17 625  / год,автоматическая,полный,Не требует ремонта,3 или более,4.5 л,235 л.с.,дизельный ,ДТ ,9.5 с,10.2 л,Япония ,J ,210 км/ч,?,2 990 000 
"Hyundai Solaris, 2012",2012,154 612 км,красный,3 075  / год,автоматическая,передний,Не требует ремонта,2 владельца,1.6 л,123 л.с.,бензиновый ,АИ-92 ,11.2 с,6.6 л,Южная Корея ,B ,180 км/ч,?,749 000 
"Hyundai Solaris, 2011",2011,191 690 км,белый,3 075  / год,автоматическая,передний,Не требует ремонта,3 или более,1.6 л,123 л.с.,бензиновый ,АИ-92 ,11.2 с,6.6 л,Южная Корея ,B ,180 км/ч,?,584 000 
"Genesis GV70, 2021",2021,54 722 км,чёрный,9 950  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.2 л,199 л.с.,дизельный ,ДТ ,8.3 с,7.8 л,Южная Корея ,D ,211 км/ч,Euro 5 ,5 197 000 
"Geely Atlas, 2023",2023,10 км,серый,7 830  / год,роботизированная,передний,Не требует ремонта,1 владелец,1.5 л,174 л.с.,бензиновый ,АИ-95 ,9.7 с,6.8 л,Китай ,C ,190 км/ч,Euro 6 ,2 787 000 
"BMW X5 25d, 2021",2021,98 000 км,чёрный,17 325  / год,автоматическая,полный,Не требует ремонта,2 владельца,2.0 л,231 л.с.,дизельный ,ДТ ,7.5 с,6.2 л,Германия ,E ,222 км/ч,Euro 6 ,6 800 000 
"Toyota RAV4, 2017",2017,90 262 км,белый,5 110  / год,вариатор,передний,Не требует ремонта,1 владелец,2.0 л,146 л.с.,бензиновый ,АИ-95 ,11.1 с,7.4 л,Япония ,C ,180 км/ч,Euro 5 ,2 209 000 
"Hyundai Solaris, 2011",2011,105 017 км,серебристый,3 075  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-92 ,11.4 с,6.6 л,Южная Корея ,B ,180 км/ч,?,770 000 
"Hyundai Santa Fe Classic, 2011",2011,185 038 км,чёрный,2 800  / год,механическая,полный,Не требует ремонта,1 владелец,2.0 л,112 л.с.,дизельный ,ДТ ,14.9 с,7.6 л,Южная Корея ,D ,166 км/ч,?,950 000 
"Toyota Land Cruiser, 2012",2012,421 000 км,красный,17 625  / год,автоматическая,полный,Не требует ремонта,2 владельца,4.5 л,235 л.с.,дизельный ,ДТ ,9.5 с,10.2 л,Япония ,J ,210 км/ч,?,2 850 000 
"Haval Jolion, 2021",2021,47 000 км,чёрный,5 005  / год,роботизированная,передний,Не требует ремонта,1 владелец,1.5 л,143 л.с.,бензиновый ,АИ-92 ,9.8 с,8.1 л,Китай ,C ,185 км/ч,Euro 5 ,1 770 000 
"Volkswagen Polo, 2017",2017,50 865 км,бежевый,3 125  / год,роботизированная,передний,Не требует ремонта,1 владелец,1.4 л,125 л.с.,бензиновый ,АИ-95 ,9.0 с,5.7 л,Германия ,B ,198 км/ч,Euro 5 ,1 400 000 
"Geely Tugella, 2022",2022,31 878 км,белый,17 850  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,238 л.с.,бензиновый ,АИ-95 ,6.9 с,8.1 л,Китай ,C ,210 км/ч,Euro 5 ,2 890 000 
"Toyota RAV4, 2020",2020,27 935 км,коричневый,9 950  / год,автоматическая,полный,Не требует ремонта,2 владельца,2.5 л,199 л.с.,бензиновый ,АИ-92 ,8.5 с,7.3 л,Япония ,C ,200 км/ч,Euro 5 ,3 300 000 
"Bentley Bentayga, 2021",2021,23 223 км,серый,82 500  / год,автоматическая,полный,Не требует ремонта,1 владелец,4.0 л,550 л.с.,бензиновый ,АИ-95 ,4.5 с,12.0 л,Великобритания ,F ,290 км/ч,Euro 6 ,27 500 000 
"Hyundai Solaris, 2014",2014,97 957 км,коричневый,3 075  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-92 ,10.3 с,6.1 л,Южная Корея ,B ,190 км/ч,Euro 4 ,950 000 
"Hyundai Creta, 2017",2017,170 000 км,серый,5 215  / год,автоматическая,полный,Не требует ремонта,2 владельца,2.0 л,149 л.с.,бензиновый ,АИ-95 ,11.3 с,8.0 л,Южная Корея ,B ,179 км/ч,Euro 6 ,1 679 000 
"Toyota RAV4, 2008",2008,111 634 км,красный,6 840  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,152 л.с.,бензиновый ,АИ-95 ,12.0 с,8.6 л,Япония ,C ,175 км/ч,?,1 220 000 
"BMW X5 30d, 2019",2019,63 321 км,чёрный,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,249 л.с.,дизельный ,ДТ ,6.5 с,6.8 л,Германия ,E ,230 км/ч,Euro 6 ,8 050 000 
"Mercedes-Benz GLE Coupe AMG 63 AMG S, 2020",2020,26 800 км,белый,91 800  / год,автоматическая,полный,Не требует ремонта,1 владелец,4.0 л,612 л.с.,бензиновый ,АИ-98 ,3.8 с,11.5 л,Германия ,E ,280 км/ч,Euro 6 ,12 900 000 
"Mercedes-Benz GLS 400 d, 2021",2021,33 000 км,чёрный,49 500  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.9 л,330 л.с.,дизельный ,ДТ ,6.3 с,7.9 л,Германия ,F ,238 км/ч,Euro 6 ,11 999 000 
"BMW X5 30d, 2022",2022,17 817 км,чёрный,18 675  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,249 л.с.,дизельный ,ДТ ,6.5 с,6.8 л,Германия ,E ,230 км/ч,Euro 6 ,10 497 000 
"Audi A6, 2015",2015,240 000 км,серый,9 500  / год,роботизированная,передний,Не требует ремонта,2 владельца,1.8 л,190 л.с.,бензиновый ,АИ-95 ,7.9 с,5.7 л,Германия ,E ,233 км/ч,Euro 6 ,1 770 000 
"Toyota Land Cruiser, 2008",2008,210 831 км,серебристый,17 625  / год,автоматическая,полный,Не требует ремонта,1 владелец,4.5 л,235 л.с.,дизельный ,ДТ ,9.5 с,10.2 л,Япония ,J ,210 км/ч,?,3 425 000 
"Zeekr 001 100 kWh, 2023",2023,7 500 км,серый,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,2144 л,544 л.с.,Электро ,?,3.8 с,?,Китай ,E ,200 км/ч,?,6 450 000 
"Honda CR-V, 2012",2012,176 407 км,белый,7 470  / год,автоматическая,полный,Не требует ремонта,3 или более,2.4 л,166 л.с.,бензиновый ,АИ-95 ,11.3 с,9.5 л,Япония ,C ,190 км/ч,Euro 4 ,1 560 000 
"Hyundai Solaris, 2021",2021,30 000 км,серый,3 075  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-92 ,11.2 с,6.6 л,Южная Корея ,B ,192 км/ч,Euro 5 ,1 850 000 
"Hyundai Solaris, 2012",2012,154 612 км,красный,3 075  / год,автоматическая,передний,Не требует ремонта,2 владельца,1.6 л,123 л.с.,бензиновый ,АИ-92 ,11.2 с,6.6 л,Южная Корея ,B ,180 км/ч,?,749 000 
"Mercedes-Benz V-Класс L 300 d длинный, 2023",2023,40 км,чёрный,53 325  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,237 л.с.,дизельный ,ДТ ,8.5 с,7.2 л,Германия ,M ,214 км/ч,Euro 6 ,13 890 000 
"Genesis GV70, 2021",2021,54 722 км,чёрный,9 950  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.2 л,199 л.с.,дизельный ,ДТ ,8.3 с,7.8 л,Южная Корея ,D ,211 км/ч,Euro 5 ,5 197 000 
"Geely Atlas, 2023",2023,10 км,серый,7 830  / год,роботизированная,передний,Не требует ремонта,1 владелец,1.5 л,174 л.с.,бензиновый ,АИ-95 ,9.7 с,6.8 л,Китай ,C ,190 км/ч,Euro 6 ,2 787 000 
"Zeekr 001 100 kWh, 2023",2023,20 км,чёрный,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,2144 л,544 л.с.,Электро ,?,3.8 с,?,Китай ,E ,200 км/ч,?,7 100 000 
"BMW X5 25d, 2021",2021,98 000 км,чёрный,17 325  / год,автоматическая,полный,Не требует ремонта,2 владельца,?,?,?,?,?,?,?,?,?,?,6 800 000 
"Infiniti QX50, 2019",2019,55 000 км,синий,18 675  / год,вариатор,полный,Не требует ремонта,1 владелец,2.0 л,249 л.с.,бензиновый ,АИ-95 ,7.3 с,8.6 л,Япония ,D ,220 км/ч,?,3 600 000 
"Lamborghini Urus, 2021",2021,12 000 км,серый,292 500  / год,автоматическая,полный,Не требует ремонта,1 владелец,4.0 л,650 л.с.,бензиновый ,АИ-98 ,3.6 с,12.3 л,Италия ,E ,305 км/ч,Euro 6 ,38 500 000 
"Toyota RAV4, 2017",2017,90 262 км,белый,5 110  / год,вариатор,передний,Не требует ремонта,1 владелец,2.0 л,146 л.с.,бензиновый ,АИ-95 ,11.1 с,7.4 л,Япония ,C ,180 км/ч,Euro 5 ,2 209 000 
"Hyundai Solaris, 2011",2011,105 017 км,серебристый,3 075  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-92 ,11.4 с,6.6 л,Южная Корея ,B ,180 км/ч,?,770 000 
"Volkswagen Polo, 2012",2012,169 661 км,чёрный,2 625  / год,автоматическая,передний,Не требует ремонта,2 владельца,1.6 л,105 л.с.,бензиновый ,АИ-95 ,12.1 с,7.0 л,Германия ,B ,187 км/ч,Euro 4 ,789 000 
"Hyundai Santa Fe Classic, 2011",2011,185 038 км,чёрный,2 800  / год,механическая,полный,Не требует ремонта,1 владелец,2.0 л,112 л.с.,дизельный ,ДТ ,14.9 с,7.6 л,Южная Корея ,D ,166 км/ч,?,950 000 
"Skoda Octavia, 2020",2020,235 000 км,белый,2 750  / год,автоматическая,передний,Не требует ремонта,3 или более,1.6 л,110 л.с.,бензиновый ,АИ-95 ,12.2 с,6.7 л,Чехия ,C ,188 км/ч,Euro 5 ,1 465 000 
"Volkswagen Polo, 2017",2017,50 865 км,бежевый,3 125  / год,роботизированная,передний,Не требует ремонта,1 владелец,1.4 л,125 л.с.,бензиновый ,АИ-95 ,9.0 с,5.7 л,Германия ,B ,198 км/ч,Euro 5 ,1 400 000 
"Toyota Camry, 2015",2015,138 000 км,чёрный,5 250  / год,автоматическая,передний,Не требует ремонта,2 владельца,2.0 л,150 л.с.,бензиновый ,АИ-95 ,10.4 с,7.2 л,Япония ,E ,210 км/ч,Euro 5 ,1 449 000 
"Nissan Almera, 2005",2005,255 000 км,серый,1 176  / год,механическая,передний,Не требует ремонта,2 владельца,1.5 л,98 л.с.,бензиновый ,АИ-95 ,13.1 с,6.6 л,Япония ,C ,177 км/ч,?,310 000 
"Ram 1500 Crew Cab TRX, 2022",2022,8 500 км,серый,?,автоматическая,полный,Не требует ремонта,1 владелец,6.2 л,712 л.с.,бензиновый ,АИ-95 ,4.5 с,19.6 л,США ,J ,190 км/ч,?,17 490 000 
"Hyundai Solaris, 2014",2014,97 957 км,коричневый,3 075  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-92 ,10.3 с,6.1 л,Южная Корея ,B ,190 км/ч,Euro 4 ,950 000 
"Toyota RAV4, 2008",2008,111 634 км,красный,6 840  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,152 л.с.,бензиновый ,АИ-95 ,12.0 с,8.6 л,Япония ,C ,175 км/ч,?,1 220 000 
"BMW X5 30d, 2019",2019,63 321 км,чёрный,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,249 л.с.,дизельный ,ДТ ,6.5 с,6.8 л,Германия ,E ,230 км/ч,Euro 6 ,8 050 000 
"Lada (ВАЗ) Granta, 2021",2021,47 000 км,серебристый,2 650  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,106 л.с.,бензиновый ,АИ-95 ,10.6 с,6.5 л,Россия ,B ,183 км/ч,Euro 5 ,1 000 000 
"BMW X5 30d, 2022",2022,17 817 км,чёрный,18 675  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,249 л.с.,дизельный ,ДТ ,6.5 с,6.8 л,Германия ,E ,230 км/ч,Euro 6 ,10 497 000 
"Toyota Land Cruiser, 2008",2008,210 831 км,серебристый,17 625  / год,автоматическая,полный,Не требует ремонта,1 владелец,4.5 л,235 л.с.,дизельный ,ДТ ,9.5 с,10.2 л,Япония ,J ,210 км/ч,?,3 425 000 
"Genesis GV70, 2021",2021,8 200 км,серый,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.5 л,249 л.с.,бензиновый ,АИ-95 ,6.7 с,10.9 л,Южная Корея ,D ,235 км/ч,Euro 5 ,5 950 000 
"Mercedes-Benz S-Класс 350 d Long 4MATIC, 2021",2021,60 675 км,чёрный,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.9 л,249 л.с.,дизельный ,ДТ ,6.2 с,6.9 л,Германия ,F ,250 км/ч,Euro 6 ,12 890 000 
"Kia Seltos, 2020",2020,22 300 км,серый,3 075  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-92 ,12.3 с,7.4 л,Южная Корея ,B ,175 км/ч,Euro 5 ,2 400 000 
"EXEED VX, 2022",2022,63 066 км,чёрный,18 675  / год,роботизированная,полный,Не требует ремонта,2 владельца,2.0 л,249 л.с.,бензиновый ,АИ-95 ,8.5 с,9.5 л,Китай ,E ,195 км/ч,Euro 5 ,3 222 000 
"Audi Q8 50 TDI, 2022",2022,3 285 км,чёрный,42 900  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,286 л.с.,дизельный ,ДТ ,6.3 с,6.8 л,Германия ,E ,245 км/ч,Euro 6 ,13 000 000 
"Lexus RX 350, 2015",2015,125 475 км,чёрный,41 550  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.5 л,277 л.с.,бензиновый ,АИ-95 ,8.0 с,10.6 л,Япония ,E ,200 км/ч,Euro 4 ,2 997 000 
"Hyundai Santa Fe, 2018",2018,117 449 км,белый,10 000  / год,автоматическая,полный,Не требует ремонта,2 владельца,2.2 л,200 л.с.,дизельный ,ДТ ,9.6 с,7.7 л,Южная Корея ,D ,203 км/ч,Euro 4 ,2 529 000 
"Hyundai Creta, 2017",2017,124 982 км,белый,3 075  / год,автоматическая,передний,Не требует ремонта,2 владельца,1.6 л,123 л.с.,бензиновый ,АИ-95 ,12.1 с,7.1 л,Южная Корея ,B ,169 км/ч,Euro 6 ,1 299 000 
"Genesis GV80, 2021",2021,40 460 км,синий,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,249 л.с.,дизельный ,ДТ ,7.5 с,8.8 л,Южная Корея ,E ,220 км/ч,Euro 5 ,6 650 000 
"BMW X5 40d, 2022",2022,16 625 км,белый,51 000  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,340 л.с.,дизельный ,ДТ ,5.5 с,6.4 л,Германия ,E ,245 км/ч,Euro 6 ,11 499 000 
"Zeekr 001 100 kWh, 2023",2023,7 500 км,серый,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,2144 л,544 л.с.,Электро ,?,3.8 с,?,Китай ,E ,200 км/ч,?,6 450 000 
"Hyundai Creta, 2017",2017,114 377 км,синий,3 025  / год,автоматическая,полный,Не требует ремонта,2 владельца,1.6 л,121 л.с.,бензиновый ,АИ-95 ,13.1 с,7.6 л,Южная Корея ,B ,167 км/ч,Euro 6 ,1 615 000 
"Toyota Highlander, 2021",2021,17 205 км,белый,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.5 л,249 л.с.,бензиновый ,АИ-95 ,8.8 с,9.5 л,Япония ,E ,180 км/ч,Euro 5 ,6 350 000 
"Toyota RAV4, 2013",2013,253 602 км,голубой,5 215  / год,автоматическая,полный,Не требует ремонта,3 или более,2.2 л,149 л.с.,дизельный ,ДТ ,10.0 с,6.5 л,Япония ,C ,185 км/ч,Euro 4 ,1 649 000 
"Volvo S90, 2017",2017,131 704 км,серый,18 675  / год,автоматическая,передний,Не требует ремонта,2 владельца,2.0 л,249 л.с.,бензиновый ,АИ-95 ,6.8 с,6.6 л,Швеция ,E ,230 км/ч,Euro 6 ,2 877 000 
"Kia Sportage, 2019",2019,48 000 км,чёрный,5 250  / год,автоматическая,полный,Не требует ремонта,2 владельца,2.0 л,150 л.с.,бензиновый ,АИ-95 ,11.6 с,8.3 л,Южная Корея ,C ,180 км/ч,Euro 5 ,2 680 000 
"Voyah Free, 2023",2023,302 км,чёрный,13 260  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.5 л,490 л.с.,гибридный ,АИ-92 ,4.8 с,0.81 л,Китай ,E ,200 км/ч,Euro 6 ,5 399 000 
"Hyundai Santa Fe, 2021",2021,13 415 км,белый,9 000  / год,автоматическая,полный,Не требует ремонта,2 владельца,2.5 л,180 л.с.,бензиновый ,АИ-95 ,10.3 с,8.7 л,Южная Корея ,D ,195 км/ч,?,4 040 000 
"Genesis GV70, 2021",2021,8 200 км,серый,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.5 л,249 л.с.,бензиновый ,АИ-95 ,6.7 с,10.9 л,Южная Корея ,D ,235 км/ч,Euro 5 ,5 950 000 
"Audi Q3, 2012",2012,177 223 км,чёрный,8 850  / год,роботизированная,полный,Не требует ремонта,1 владелец,2.0 л,177 л.с.,дизельный ,ДТ ,8.2 с,5.9 л,Германия ,C ,212 км/ч,Euro 5 ,1 560 000 
"Audi Q8 50 TDI, 2022",2022,3 285 км,чёрный,42 900  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,286 л.с.,дизельный ,ДТ ,6.3 с,6.8 л,Германия ,E ,245 км/ч,Euro 6 ,13 000 000 
"Zeekr 001 100 kWh, 2023",2023,7 500 км,серый,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,2144 л,544 л.с.,Электро ,?,3.8 с,?,Китай ,E ,200 км/ч,?,6 450 000 
"Mercedes-Benz GLS 450, 2019",2019,119 224 км,чёрный,55 050  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,367 л.с.,бензиновый ,АИ-95 ,6.2 с,9.4 л,Германия ,F ,246 км/ч,Euro 6 ,8 300 000 
"Hyundai Santa Fe, 2021",2021,56 729 км,коричневый,9 000  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.5 л,180 л.с.,бензиновый ,АИ-95 ,10.3 с,8.7 л,Южная Корея ,D ,195 км/ч,?,4 199 000 
"Hyundai Creta, 2018",2018,66 745 км,оранжевый,3 025  / год,механическая,полный,Не требует ремонта,1 владелец,1.6 л,121 л.с.,бензиновый ,АИ-95 ,12.9 с,7.4 л,Южная Корея ,B ,167 км/ч,Euro 5 ,1 649 000 
"Volkswagen Touareg, 2012",2012,250 500 км,коричневый,18 675  / год,автоматическая,полный,Не требует ремонта,3 или более,3.6 л,249 л.с.,бензиновый ,АИ-95 ,8.4 с,10.9 л,Германия ,E ,220 км/ч,Euro 5 ,1 569 000 
"Suzuki Jimny, 2020",2020,29 750 км,жёлтый,2 550  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.5 л,102 л.с.,бензиновый ,АИ-95 ,?,7.5 л,Япония ,J ,140 км/ч,Euro 5 ,3 750 000 
"Volkswagen Passat, 2018",2018,167 718 км,чёрный,9 000  / год,роботизированная,передний,Не требует ремонта,1 владелец,1.8 л,180 л.с.,бензиновый ,АИ-95 ,7.9 с,5.8 л,Германия ,D ,232 км/ч,Euro 6 ,2 198 000 
"Hyundai Santa Fe Grand, 2014",2014,186 565 км,коричневый,40 500  / год,автоматическая,полный,Не требует ремонта,3 или более,3.3 л,270 л.с.,бензиновый ,АИ-95 ,8.0 с,10.0 л,Южная Корея ,D ,207 км/ч,Euro 5 ,2 000 000 
"Hyundai Creta, 2017",2017,90 592 км,чёрный,5 215  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,149 л.с.,бензиновый ,АИ-95 ,11.3 с,8.0 л,Южная Корея ,B ,179 км/ч,Euro 6 ,1 674 000 
"BMW X5 30d, 2017",2017,82 784 км,коричневый,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,249 л.с.,дизельный ,ДТ ,6.9 с,6.2 л,Германия ,E ,230 км/ч,Euro 6 ,4 684 800 
"BMW X5 40d, 2022",2022,17 000 км,серый,51 000  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,340 л.с.,дизельный ,ДТ ,5.5 с,6.4 л,Германия ,E ,245 км/ч,Euro 6 ,11 499 999 
"Hyundai Creta, 2019",2019,152 968 км,чёрный,3 075  / год,механическая,передний,Не требует ремонта,1 владелец,1.6 л,123 л.с.,бензиновый ,АИ-95 ,12.3 с,7.0 л,Южная Корея ,B ,169 км/ч,Euro 6 ,1 374 000 
"Mercedes-Benz GLE 450, 2020",2020,46 215 км,синий,55 050  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,367 л.с.,бензиновый ,АИ-95 ,5.7 с,9.4 л,Германия ,E ,250 км/ч,Euro 6 ,8 390 000 
"Volkswagen Tiguan, 2020",2020,75 128 км,белый,5 250  / год,роботизированная,передний,Не требует ремонта,2 владельца,1.4 л,150 л.с.,бензиновый ,АИ-95 ,9.2 с,7.1 л,Германия ,C ,198 км/ч,Euro 6 ,2 550 000 
"Mercedes-Benz Maybach GLS 600, 2021",2021,19 000 км,чёрный,83 700  / год,автоматическая,полный,Не требует ремонта,1 владелец,4.0 л,558 л.с.,бензиновый ,АИ-98 ,4.9 с,12.0 л,Германия ,F ,250 км/ч,Euro 6 ,22 000 000 
"BMW X6 30d, 2020",2020,119 500 км,зелёный,18 675  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,249 л.с.,дизельный ,ДТ ,6.5 с,6.6 л,Германия ,E ,230 км/ч,Euro 6 ,7 300 000 
"Land Rover Range Rover Velar, 2018",2018,122 004 км,белый,18 750  / год,автоматическая,полный,Не требует ремонта,2 владельца,2.0 л,250 л.с.,бензиновый ,АИ-95 ,6.7 с,7.6 л,Великобритания ,D ,217 км/ч,Euro 6 ,3 939 000 
"Volkswagen Tiguan, 2016",2016,153 000 км,коричневый,5 250  / год,роботизированная,передний,Не требует ремонта,2 владельца,1.4 л,150 л.с.,бензиновый ,АИ-95 ,9.3 с,6.7 л,Германия ,C ,196 км/ч,Euro 6 ,1 489 000 
"BMW X5 30d, 2023",2023,8 100 км,белый,44 700  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,298 л.с.,дизельный ,ДТ ,6.1 с,8.2 л,Германия ,E ,233 км/ч,Euro 6 ,12 337 000 
"Kia Ceed, 2015",2015,162 000 км,серебристый,4 515  / год,автоматическая,передний,Не требует ремонта,1 владелец,1.6 л,129 л.с.,бензиновый ,АИ-95 ,11.8 с,6.9 л,Южная Корея ,C ,190 км/ч,Euro 4 ,1 265 000 
"Porsche Cayenne GTS, 2015",2015,163 267 км,чёрный,66 000  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.6 л,440 л.с.,бензиновый ,АИ-95 ,5.2 с,10.0 л,Германия ,E ,262 км/ч,Euro 6 ,3 888 000 
"EXEED TXL, 2022",2022,18 633 км,белый,9 300  / год,роботизированная,полный,Не требует ремонта,1 владелец,1.6 л,186 л.с.,бензиновый ,АИ-92 ,9.8 с,7.6 л,Китай ,D ,185 км/ч,Euro 5 ,2 878 000 
"Haval F7x, 2022",2022,17 874 км,белый,9 500  / год,роботизированная,полный,Не требует ремонта,1 владелец,2.0 л,190 л.с.,бензиновый ,АИ-95 ,?,8.4 л,Китай ,C ,195 км/ч,Euro 5 ,2 550 000 
"Kia Sorento, 2020",2020,5 188 км,белый,9 950  / год,роботизированная,полный,Не требует ремонта,1 владелец,2.2 л,199 л.с.,дизельный ,ДТ ,9.2 с,6.1 л,Южная Корея ,D ,205 км/ч,Euro 5 ,4 875 000 
"Kia Sorento, 2021",2021,28 077 км,чёрный,8 950  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.5 л,179 л.с.,бензиновый ,АИ-95 ,10.3 с,8.9 л,Южная Корея ,D ,195 км/ч,Euro 5 ,3 440 000 
