model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price
Audi,2021,20100.0,синий,5250.0,роботизированная,передний,2 владельца,2.0,150.0,бензиновый ,АИ-95 ,8.9,6.0,Германия ,D ,225.0,Euro 6 ,4000000.0
Maserati,2007,98000.0,чёрный,60000.0,автоматическая,задний,3 или более,4.2,400.0,бензиновый ,АИ-98 ,5.6,14.7,Италия ,F ,270.0,Euro 0,1290000.0
Mercedes-Benz,2020,46215.0,синий,55050.0,автоматическая,полный,2 владельца,3.0,367.0,бензиновый ,АИ-95 ,5.7,9.4,Германия ,E ,250.0,Euro 6 ,8390000.0
Lada,2022,4000.0,чёрный,1080.0,механическая,передний,1 владелец,1.6,90.0,бензиновый ,АИ-95 ,11.2,6.8,Россия ,B ,179.0,Euro 5 ,950000.0
Volkswagen,2020,75128.0,белый,5250.0,роботизированная,передний,2 владельца,1.4,150.0,бензиновый ,АИ-95 ,9.2,7.1,Германия ,C ,198.0,Euro 6 ,2550000.0
Land,2018,122004.0,белый,18750.0,автоматическая,полный,2 владельца,2.0,250.0,бензиновый ,АИ-95 ,6.7,7.6,Великобритания ,D ,217.0,Euro 6 ,3939000.0
Porsche,2020,99500.0,серый,51000.0,автоматическая,полный,2 владельца,3.0,340.0,бензиновый ,АИ-98 ,6.2,9.2,Германия ,E ,245.0,Euro 6 ,9350000.0
Volkswagen,2016,153000.0,коричневый,5250.0,роботизированная,передний,2 владельца,1.4,150.0,бензиновый ,АИ-95 ,9.3,6.7,Германия ,C ,196.0,Euro 6 ,1489000.0
BMW,2023,8100.0,белый,44700.0,автоматическая,полный,1 владелец,3.0,298.0,дизельный ,ДТ ,6.1,8.2,Германия ,E ,233.0,Euro 6 ,12337000.0
Porsche,2015,163267.0,чёрный,66000.0,автоматическая,полный,1 владелец,3.6,440.0,бензиновый ,АИ-95 ,5.2,10.0,Германия ,E ,262.0,Euro 6 ,3888000.0
EXEED,2022,18633.0,белый,9300.0,роботизированная,полный,1 владелец,1.6,186.0,бензиновый ,АИ-92 ,9.8,7.6,Китай ,D ,185.0,Euro 5 ,2878000.0
Renault,2014,93099.0,коричневый,4725.0,автоматическая,передний,2 владельца,2.0,135.0,бензиновый ,АИ-95 ,11.2,8.3,Франция ,B ,168.0,Euro 4 ,999999.0
Kia,2020,5188.0,белый,9950.0,роботизированная,полный,1 владелец,2.2,199.0,дизельный ,ДТ ,9.2,6.1,Южная Корея ,D ,205.0,Euro 5 ,4875000.0
Kia,2021,28077.0,чёрный,8950.0,автоматическая,полный,1 владелец,2.5,179.0,бензиновый ,АИ-95 ,10.3,8.9,Южная Корея ,D ,195.0,Euro 5 ,3440000.0
Renault,2018,129800.0,белый,2825.0,вариатор,передний,2 владельца,1.6,113.0,бензиновый ,АИ-95 ,12.1,6.7,Франция ,B ,170.0,Euro 5 ,1065000.0
Hyundai,2007,240000.0,чёрный,3050.0,механическая,передний,2 владельца,1.6,122.0,бензиновый ,АИ-92 ,11.6,6.2,Южная Корея ,C ,183.0,Euro 0,700000.0
Mercedes-Benz,2019,47500.0,чёрный,263250.0,автоматическая,полный,2 владельца,4.0,585.0,бензиновый ,АИ-98 ,4.5,13.3,Германия ,J ,220.0,Euro 6 ,18897000.0
Mazda,2013,130626.0,белый,5250.0,автоматическая,полный,2 владельца,2.0,150.0,бензиновый ,АИ-95 ,9.4,6.7,Япония ,C ,187.0,Euro 4 ,1895000.0
Kia,2008,207542.0,чёрный,7650.0,автоматическая,полный,1 владелец,2.5,170.0,дизельный ,ДТ ,12.4,8.6,Южная Корея ,D ,180.0,Euro 4 ,849000.0
BMW,2021,40000.0,серый,93750.0,автоматическая,полный,1 владелец,4.4,625.0,бензиновый ,АИ-95 ,3.3,10.6,Германия ,E ,250.0,Euro 6 ,13500000.0
Mercedes-Benz,2020,37229.0,серый,49500.0,автоматическая,полный,1 владелец,2.9,330.0,дизельный ,ДТ ,6.3,7.9,Германия ,F ,238.0,Euro 6 ,9200000.0
Kia,2020,237000.0,синий,9950.0,роботизированная,полный,1 владелец,2.2,199.0,дизельный ,ДТ ,9.2,6.1,Южная Корея ,D ,205.0,Euro 5 ,3450000.0
Kia,2019,46297.0,серый,4480.0,механическая,передний,1 владелец,1.6,128.0,бензиновый ,АИ-92 ,10.5,6.8,Южная Корея ,C ,195.0,Euro 6 ,1620000.0
Mazda,2021,52522.0,белый,9700.0,автоматическая,полный,1 владелец,2.5,194.0,бензиновый ,АИ-95 ,9.0,7.4,Япония ,C ,195.0,Euro 0,3699000.0
Mazda,2013,374400.0,белый,5250.0,автоматическая,передний,3 или более,2.0,150.0,бензиновый ,АИ-95 ,10.5,6.1,Япония ,D ,207.0,Euro 0,1250000.0
EXEED,2023,35889.0,серый,9850.0,роботизированная,полный,1 владелец,2.0,197.0,бензиновый ,АИ-95 ,9.0,8.7,Китай ,D ,200.0,Euro 6 ,3069000.0
EXEED,2022,83701.0,чёрный,9300.0,роботизированная,полный,1 владелец,1.6,186.0,бензиновый ,АИ-92 ,9.8,7.6,Китай ,D ,185.0,Euro 5 ,2308000.0
Land,2018,85000.0,чёрный,9000.0,автоматическая,полный,2 владельца,2.0,180.0,дизельный ,ДТ ,8.9,5.4,Великобритания ,D ,209.0,Euro 6 ,4250000.0
Hyundai,2018,133645.0,белый,3075.0,механическая,передний,1 владелец,1.6,123.0,бензиновый ,АИ-92 ,10.3,6.0,Южная Корея ,B ,193.0,Euro 5 ,1049000.0
Kia,2010,174029.0,серый,3050.0,автоматическая,передний,3 или более,1.6,122.0,бензиновый ,АИ-95 ,11.9,6.6,Южная Корея ,C ,187.0,Euro 0,695000.0
Volvo,2017,131704.0,серый,18675.0,автоматическая,передний,2 владельца,2.0,249.0,бензиновый ,АИ-95 ,6.8,6.6,Швеция ,E ,230.0,Euro 6 ,2877000.0
Kia,2020,63323.0,синий,9700.0,автоматическая,передний,1 владелец,2.5,194.0,бензиновый ,АИ-95 ,8.6,7.1,Южная Корея ,D ,210.0,Euro 5 ,2729000.0
Land,2017,47305.0,белый,18675.0,автоматическая,полный,1 владелец,3.0,249.0,дизельный ,ДТ ,8.1,7.2,Великобритания ,J ,209.0,Euro 6 ,4239000.0
Kia,2015,120676.0,чёрный,5250.0,механическая,передний,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,10.7,8.5,Южная Корея ,C ,185.0,Euro 5 ,1397000.0
Kia,2019,45000.0,белый,4480.0,автоматическая,передний,1 владелец,1.6,128.0,бензиновый ,АИ-92 ,11.8,7.3,Южная Корея ,C ,192.0,Euro 6 ,2099000.0
Mercedes-Benz,2020,87300.0,серый,49500.0,автоматическая,полный,1 владелец,2.9,330.0,дизельный ,ДТ ,5.7,7.5,Германия ,E ,245.0,Euro 6 ,7689000.0
Kia,2010,172593.0,серебристый,3125.0,механическая,передний,1 владелец,1.6,125.0,бензиновый ,АИ-95 ,10.8,6.2,Южная Корея ,C ,192.0,Euro 5 ,900000.0
Kia,2010,117486.0,синий,3050.0,автоматическая,передний,1 владелец,1.6,122.0,бензиновый ,АИ-95 ,11.9,6.6,Южная Корея ,C ,187.0,Euro 0,795000.0
Mercedes-Benz,2020,25000.0,синий,38700.0,автоматическая,полный,1 владелец,2.0,258.0,бензиновый ,АИ-95 ,7.5,10.6,Германия ,E ,228.0,Euro 0,7500000.0
Chevrolet,2020,54000.0,чёрный,50250.0,автоматическая,задний,1 владелец,3.6,335.0,бензиновый ,АИ-95 ,5.1,10.7,США ,S ,250.0,Euro 0,3909000.0
Ford,2013,227120.0,серебристый,44100.0,автоматическая,полный,3 или более,3.5,294.0,бензиновый ,АИ-92 ,8.7,11.0,США ,E ,183.0,Euro 0,1695000.0
Porsche,2019,15000.0,синий,67500.0,роботизированная,полный,2 владельца,3.0,450.0,бензиновый ,АИ-98 ,3.6,9.0,Германия ,S ,306.0,Euro 6 ,17000000.0
Geely,2022,1683.0,белый,5100.0,роботизированная,передний,1 владелец,1.5,150.0,бензиновый ,АИ-92 ,8.4,6.4,Китай ,B ,190.0,Euro 5 ,2200000.0
Nissan,2008,205000.0,чёрный,4935.0,вариатор,полный,3 или более,2.0,141.0,бензиновый ,АИ-95 ,11.3,8.3,Япония ,C ,178.0,Euro 4 ,863900.0
Kia,2015,72000.0,серебристый,5250.0,автоматическая,полный,2 владельца,2.0,150.0,бензиновый ,АИ-95 ,11.7,8.4,Южная Корея ,C ,174.0,Euro 5 ,1650000.0
Honda,2008,197418.0,серебристый,5250.0,автоматическая,полный,3 или более,2.0,150.0,бензиновый ,АИ-95 ,12.2,8.2,Япония ,C ,177.0,Euro 0,1250000.0
EXEED,2022,8000.0,чёрный,9300.0,роботизированная,полный,2 владельца,1.6,186.0,бензиновый ,АИ-92 ,9.8,7.6,Китай ,D ,185.0,Euro 5 ,2707000.0
Kia,2010,227800.0,синий,3050.0,автоматическая,передний,3 или более,1.6,122.0,бензиновый ,АИ-95 ,11.4,6.9,Южная Корея ,C ,187.0,Euro 0,669000.0
Lexus,2017,25000.0,белый,71550.0,автоматическая,задний,3 или более,5.0,477.0,бензиновый ,АИ-95 ,4.7,11.5,Япония ,S ,270.0,Euro 6 ,8500000.0
Kia,2011,101000.0,серый,5250.0,автоматическая,передний,2 владельца,2.0,150.0,бензиновый ,АИ-95 ,10.6,7.9,Южная Корея ,C ,182.0,Euro 4 ,1189000.0
Genesis,2021,54722.0,чёрный,9950.0,автоматическая,полный,1 владелец,2.2,199.0,дизельный ,ДТ ,8.3,7.8,Южная Корея ,D ,211.0,Euro 5 ,5197000.0
Kia,2020,65000.0,синий,5250.0,автоматическая,передний,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.1,7.9,Южная Корея ,C ,181.0,Euro 5 ,2479000.0
Kia,2019,151058.0,чёрный,9200.0,автоматическая,полный,3 или более,2.4,184.0,бензиновый ,АИ-95 ,9.6,8.6,Южная Корея ,C ,195.0,Euro 0,2140000.0
Geely,2022,1683.0,белый,5100.0,роботизированная,передний,1 владелец,1.5,150.0,бензиновый ,АИ-92 ,8.4,6.4,Китай ,B ,190.0,Euro 5 ,2200000.0
Cadillac,2019,101000.0,чёрный,63900.0,автоматическая,полный,2 владельца,6.2,426.0,бензиновый ,АИ-95 ,6.5,14.7,США ,J ,240.0,Euro 0,6300000.0
Cadillac,2022,7710.0,чёрный,62400.0,автоматическая,полный,1 владелец,6.2,416.0,бензиновый ,АИ-95 ,6.6,13.7,США ,J ,180.0,Euro 5 ,15650000.0
Maserati,2006,99000.0,чёрный,60000.0,роботизированная,задний,3 или более,4.2,400.0,бензиновый ,АИ-95 ,5.6,15.9,Италия ,F ,275.0,Euro 0,1000000.0
Nissan,2008,205000.0,чёрный,4935.0,вариатор,полный,3 или более,2.0,141.0,бензиновый ,АИ-95 ,11.3,8.3,Япония ,C ,178.0,Euro 4 ,863900.0
Volvo,2021,33100.0,синий,9850.0,автоматическая,полный,1 владелец,2.0,197.0,дизельный ,ДТ ,8.3,7.2,Швеция ,D ,180.0,Euro 6 ,6200000.0
Kia,2015,72000.0,серебристый,5250.0,автоматическая,полный,2 владельца,2.0,150.0,бензиновый ,АИ-95 ,11.7,8.4,Южная Корея ,C ,174.0,Euro 5 ,1650000.0
Porsche,2020,54000.0,серый,37800.0,роботизированная,полный,1 владелец,2.0,252.0,бензиновый ,АИ-98 ,6.7,7.4,Германия ,D ,227.0,Euro 6 ,5290000.0
Audi,2012,184000.0,синий,13715.0,автоматическая,полный,3 или более,2.0,211.0,бензиновый ,АИ-95 ,7.2,8.6,Германия ,D ,222.0,Euro 5 ,1600000.0
Honda,2008,197418.0,серебристый,5250.0,автоматическая,полный,3 или более,2.0,150.0,бензиновый ,АИ-95 ,12.2,8.2,Япония ,C ,177.0,Euro 0,1250000.0
EXEED,2022,8000.0,чёрный,9300.0,роботизированная,полный,2 владельца,1.6,186.0,бензиновый ,АИ-92 ,9.8,7.6,Китай ,D ,185.0,Euro 5 ,2707000.0
Kia,2010,227800.0,синий,3050.0,автоматическая,передний,3 или более,1.6,122.0,бензиновый ,АИ-95 ,11.4,6.9,Южная Корея ,C ,187.0,Euro 0,669000.0
Kia,2011,101000.0,серый,5250.0,автоматическая,передний,2 владельца,2.0,150.0,бензиновый ,АИ-95 ,10.6,7.9,Южная Корея ,C ,182.0,Euro 4 ,1189000.0
Mercedes-Benz,2023,25.0,чёрный,53325.0,автоматическая,полный,1 владелец,2.0,237.0,дизельный ,ДТ ,8.5,7.2,Германия ,M ,214.0,Euro 6 ,13590000.0
Genesis,2021,54722.0,чёрный,9950.0,автоматическая,полный,1 владелец,2.2,199.0,дизельный ,ДТ ,8.3,7.8,Южная Корея ,D ,211.0,Euro 5 ,5197000.0
Kia,2020,65000.0,синий,5250.0,автоматическая,передний,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.1,7.9,Южная Корея ,C ,181.0,Euro 5 ,2479000.0
Kia,2019,151058.0,чёрный,9200.0,автоматическая,полный,3 или более,2.4,184.0,бензиновый ,АИ-95 ,9.6,8.6,Южная Корея ,C ,195.0,Euro 0,2140000.0
Mercedes-Benz,2023,11.0,чёрный,120000.0,автоматическая,полный,1 владелец,4.0,800.0,бензиновый ,АИ-98 ,4.1,13.1,Германия ,J ,240.0,Euro 6 ,47900000.0
Kia,2019,223233.0,синий,5250.0,автоматическая,полный,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.6,8.3,Южная Корея ,C ,180.0,Euro 5 ,2144000.0
Peugeot,2016,170000.0,белый,5250.0,автоматическая,передний,1 владелец,1.6,150.0,бензиновый ,АИ-95 ,9.6,8.2,Франция ,C ,207.0,Euro 0,795000.0
Honda,2008,261219.0,белый,7470.0,автоматическая,полный,3 или более,2.4,166.0,бензиновый ,АИ-95 ,10.0,9.5,Япония ,C ,190.0,Euro 0,1195000.0
Volkswagen,2020,35162.0,белый,3125.0,роботизированная,передний,2 владельца,1.4,125.0,бензиновый ,АИ-95 ,9.2,6.0,Германия ,B ,204.0,Euro 5 ,1770000.0
Honda,2003,110000.0,белый,10000.0,механическая,передний,3 или более,2.0,200.0,бензиновый ,АИ-95 ,6.6,8.9,Япония ,C ,235.0,Euro 0,879000.0
Kia,2019,138063.0,чёрный,5250.0,автоматическая,передний,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.1,7.9,Южная Корея ,C ,181.0,Euro 5 ,2110000.0
Toyota,2021,60000.0,чёрный,44850.0,автоматическая,полный,3 или более,3.4,299.0,дизельный ,ДТ ,6.8,8.9,Япония ,J ,210.0,Euro 6 ,10157000.0
Kia,2017,155973.0,белый,9212.0,автоматическая,полный,1 владелец,2.4,188.0,бензиновый ,АИ-95 ,10.5,9.4,Южная Корея ,D ,195.0,Euro 6 ,2520000.0
Volkswagen,2019,62000.0,чёрный,42900.0,автоматическая,полный,1 владелец,3.0,286.0,дизельный ,ДТ ,6.1,6.9,Германия ,E ,235.0,Euro 6 ,5290000.0
Kia,2012,256500.0,коричневый,5250.0,автоматическая,передний,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,10.6,7.9,Южная Корея ,C ,182.0,Euro 4 ,1090000.0
Mercedes-Benz,2024,11.0,серый,275400.0,роботизированная,полный,1 владелец,4.0,612.0,бензиновый ,АИ-95 ,4.2,13.3,Германия ,F ,280.0,Euro 6 ,29950000.0
Honda,2013,118319.0,коричневый,9500.0,автоматическая,полный,3 или более,2.4,190.0,бензиновый ,АИ-92 ,10.7,8.4,Япония ,C ,184.0,Euro 0,1930000.0
Chevrolet,2011,173000.0,серебристый,2725.0,механическая,передний,2 владельца,1.6,109.0,бензиновый ,АИ-95 ,11.4,7.8,США ,C ,187.0,Euro 4 ,530000.0
Haval,2023,5223.0,белый,5005.0,роботизированная,передний,1 владелец,1.5,143.0,бензиновый ,АИ-92 ,9.8,8.1,Китай ,C ,185.0,Euro 5 ,1998000.0
Volkswagen,2018,130854.0,чёрный,9000.0,роботизированная,полный,1 владелец,2.0,180.0,бензиновый ,АИ-95 ,7.7,8.0,Германия ,C ,208.0,Euro 6 ,2595000.0
Porsche,2019,91500.0,чёрный,66000.0,автоматическая,полный,3 или более,2.9,440.0,бензиновый ,АИ-98 ,5.2,9.4,Германия ,E ,265.0,Euro 6 ,8300000.0
Mercedes-Benz,2021,53767.0,серый,65250.0,автоматическая,полный,1 владелец,3.0,435.0,бензиновый ,АИ-98 ,5.3,9.3,Германия ,E ,250.0,Euro 6 ,10650000.0
Volkswagen,2018,130854.0,чёрный,9000.0,роботизированная,полный,1 владелец,2.0,180.0,бензиновый ,АИ-95 ,7.7,8.0,Германия ,C ,208.0,Euro 6 ,2595000.0
Genesis,2022,8000.0,чёрный,45600.0,автоматическая,полный,1 владелец,2.5,304.0,бензиновый ,АИ-95 ,6.9,10.7,Южная Корея ,E ,237.0,Euro 6 ,7845000.0
Mercedes-Benz,2021,53767.0,серый,65250.0,автоматическая,полный,1 владелец,3.0,435.0,бензиновый ,АИ-98 ,5.3,9.3,Германия ,E ,250.0,Euro 6 ,10650000.0
Kia,2019,111265.0,серебристый,5250.0,автоматическая,передний,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.1,7.9,Южная Корея ,C ,181.0,Euro 5 ,2068000.0
Lada,2021,74000.0,белый,2825.0,вариатор,передний,1 владелец,1.6,113.0,бензиновый ,АИ-92 ,11.3,7.1,Россия ,B ,175.0,Euro 5 ,1230000.0
Honda,2008,163218.0,серый,5100.0,автоматическая,полный,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,12.2,8.2,Япония ,C ,177.0,Euro 0,1385000.0
Bentley,2020,20000.0,коричневый,95250.0,роботизированная,полный,1 владелец,6.0,635.0,бензиновый ,АИ-95 ,3.8,14.8,Великобритания ,F ,333.0,Euro 6 ,25990000.0
Ford,2013,176541.0,серебристый,44100.0,автоматическая,полный,2 владельца,3.5,294.0,бензиновый ,АИ-92 ,8.7,11.0,США ,E ,183.0,Euro 0,1850000.0
Audi,2016,116000.0,синий,49950.0,роботизированная,полный,3 или более,3.0,333.0,бензиновый ,АИ-95 ,5.3,7.6,Германия ,E ,250.0,Euro 6 ,3020000.0
Mercedes-Benz,2021,17900.0,чёрный,49500.0,автоматическая,полный,1 владелец,2.9,330.0,дизельный ,ДТ ,6.4,9.6,Германия ,J ,210.0,Euro 6 ,19490000.0
Toyota,2021,52000.0,чёрный,18675.0,автоматическая,передний,3 или более,3.5,249.0,бензиновый ,АИ-92 ,7.7,8.7,Япония ,D ,220.0,Euro 6 ,3617000.0
Honda,2008,173900.0,серебристый,5250.0,автоматическая,полный,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,12.2,8.2,Япония ,C ,177.0,Euro 0,1430000.0
Subaru,2013,86550.0,зелёный,7695.0,вариатор,полный,1 владелец,2.5,171.0,бензиновый ,АИ-95 ,9.9,8.2,Япония ,D ,196.0,Euro 0,1800000.0
Ford,2014,60100.0,серый,2625.0,механическая,передний,1 владелец,1.6,105.0,бензиновый ,АИ-95 ,12.3,5.9,США ,C ,187.0,Euro 5 ,898000.0
Land,2019,122350.0,белый,9000.0,автоматическая,полный,2 владельца,2.0,180.0,дизельный ,ДТ ,8.9,5.4,Великобритания ,D ,209.0,Euro 6 ,4599000.0
Audi,2009,225000.0,бежевый,7200.0,роботизированная,передний,3 или более,1.8,160.0,бензиновый ,АИ-95 ,7.8,7.4,Германия ,C ,220.0,Euro 5 ,840000.0
Ford,2010,182335.0,серый,5075.0,автоматическая,передний,1 владелец,2.0,145.0,бензиновый ,АИ-95 ,10.9,8.0,США ,C ,193.0,Euro 0,657400.0
Ford,2017,142189.0,чёрный,5250.0,автоматическая,передний,1 владелец,2.5,150.0,бензиновый ,АИ-95 ,10.7,8.1,США ,C ,185.0,Euro 5 ,1560000.0
Volkswagen,2012,240700.0,серый,7650.0,автоматическая,полный,1 владелец,2.0,170.0,бензиновый ,АИ-95 ,9.9,9.9,Германия ,C ,197.0,Euro 5 ,1300000.0
Kia,2021,66353.0,жёлтый,4480.0,автоматическая,передний,1 владелец,1.6,128.0,бензиновый ,АИ-92 ,11.8,7.2,Южная Корея ,C ,192.0,Euro 6 ,2198448.0
Nissan,2011,307000.0,серый,4935.0,вариатор,полный,2 владельца,2.0,141.0,бензиновый ,АИ-95 ,11.7,8.2,Япония ,C ,180.0,Euro 0,1290000.0
Volkswagen,2012,214868.0,коричневый,9000.0,роботизированная,передний,3 или более,2.0,180.0,дизельный ,ДТ ,11.4,8.1,Германия ,M ,191.0,Euro 0,2280000.0
Infiniti,2021,20000.0,чёрный,18675.0,вариатор,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,7.3,8.6,Япония ,D ,220.0,Euro 0,4130000.0
Ford,2013,208900.0,чёрный,5250.0,автоматическая,полный,1 владелец,1.6,150.0,бензиновый ,АИ-95 ,10.7,7.7,США ,C ,192.0,Euro 5 ,1220000.0
EXEED,2021,53000.0,белый,18675.0,роботизированная,полный,3 или более,2.0,249.0,бензиновый ,АИ-95 ,8.5,9.5,Китай ,E ,195.0,Euro 5 ,3200000.0
Ford,2019,74700.0,серый,5250.0,автоматическая,полный,1 владелец,1.5,150.0,бензиновый ,АИ-95 ,10.7,8.0,США ,C ,212.0,Euro 6 ,1910000.0
Toyota,2017,115127.0,чёрный,18675.0,автоматическая,полный,2 владельца,4.5,249.0,дизельный ,ДТ ,8.9,10.2,Япония ,J ,210.0,Euro 5 ,6399000.0
Skoda,2013,139663.0,белый,9000.0,роботизированная,передний,1 владелец,1.8,180.0,бензиновый ,АИ-95 ,7.4,6.1,Чехия ,C ,231.0,Euro 5 ,1298000.0
Genesis,2021,54722.0,чёрный,9950.0,автоматическая,полный,1 владелец,2.2,199.0,дизельный ,ДТ ,8.3,7.8,Южная Корея ,D ,211.0,Euro 5 ,5197000.0
Infiniti,2011,59000.0,чёрный,14430.0,автоматическая,полный,3 или более,2.5,222.0,бензиновый ,АИ-95 ,9.4,10.6,Япония ,D ,210.0,Euro 4 ,1799900.0
Toyota,2021,50000.0,чёрный,18675.0,автоматическая,передний,2 владельца,3.5,249.0,бензиновый ,АИ-92 ,7.7,8.7,Япония ,D ,220.0,Euro 6 ,4350000.0
Kia,2020,65000.0,синий,5250.0,автоматическая,передний,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.1,7.9,Южная Корея ,C ,181.0,Euro 5 ,2479000.0
Kia,2019,151058.0,чёрный,9200.0,автоматическая,полный,3 или более,2.4,184.0,бензиновый ,АИ-95 ,9.6,8.6,Южная Корея ,C ,195.0,Euro 0,2140000.0
BMW,2022,17000.0,серый,51000.0,автоматическая,полный,1 владелец,3.0,340.0,дизельный ,ДТ ,5.5,6.4,Германия ,E ,245.0,Euro 6 ,11499999.0
BMW,2006,313000.0,синий,48000.0,автоматическая,полный,2 владельца,4.4,320.0,бензиновый ,АИ-95 ,7.0,13.1,Германия ,E ,210.0,Euro 0,899000.0
Mercedes-Benz,2023,11.0,чёрный,120000.0,автоматическая,полный,1 владелец,4.0,800.0,бензиновый ,АИ-98 ,4.1,13.1,Германия ,J ,240.0,Euro 6 ,47900000.0
Kia,2019,223233.0,синий,5250.0,автоматическая,полный,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.6,8.3,Южная Корея ,C ,180.0,Euro 5 ,2144000.0
Peugeot,2016,170000.0,белый,5250.0,автоматическая,передний,1 владелец,1.6,150.0,бензиновый ,АИ-95 ,9.6,8.2,Франция ,C ,207.0,Euro 0,795000.0
Volvo,2021,95833.0,коричневый,9500.0,автоматическая,передний,2 владельца,2.0,190.0,бензиновый ,АИ-95 ,8.2,6.7,Швеция ,E ,180.0,Euro 6 ,3600000.0
Citroen,2012,193894.0,серый,3000.0,автоматическая,передний,2 владельца,1.6,120.0,бензиновый ,АИ-95 ,12.5,6.9,Франция ,C ,188.0,Euro 5 ,650000.0
Honda,2008,261219.0,белый,7470.0,автоматическая,полный,3 или более,2.4,166.0,бензиновый ,АИ-95 ,10.0,9.5,Япония ,C ,190.0,Euro 0,1195000.0
Volkswagen,2020,35162.0,белый,3125.0,роботизированная,передний,2 владельца,1.4,125.0,бензиновый ,АИ-95 ,9.2,6.0,Германия ,B ,204.0,Euro 5 ,1770000.0
Kia,2019,138063.0,чёрный,5250.0,автоматическая,передний,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.1,7.9,Южная Корея ,C ,181.0,Euro 5 ,2110000.0
Kia,2017,155973.0,белый,9212.0,автоматическая,полный,1 владелец,2.4,188.0,бензиновый ,АИ-95 ,10.5,9.4,Южная Корея ,D ,195.0,Euro 6 ,2520000.0
Kia,2012,256500.0,коричневый,5250.0,автоматическая,передний,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,10.6,7.9,Южная Корея ,C ,182.0,Euro 4 ,1090000.0
Mercedes-Benz,2024,11.0,серый,275400.0,роботизированная,полный,1 владелец,4.0,612.0,бензиновый ,АИ-95 ,4.2,13.3,Германия ,F ,280.0,Euro 6 ,29950000.0
Honda,2013,118319.0,коричневый,9500.0,автоматическая,полный,3 или более,2.4,190.0,бензиновый ,АИ-92 ,10.7,8.4,Япония ,C ,184.0,Euro 0,1930000.0
Volkswagen,2018,130854.0,чёрный,9000.0,роботизированная,полный,1 владелец,2.0,180.0,бензиновый ,АИ-95 ,7.7,8.0,Германия ,C ,208.0,Euro 6 ,2595000.0
Volkswagen,2008,223000.0,чёрный,7200.0,автоматическая,передний,1 владелец,1.8,160.0,бензиновый ,АИ-95 ,9.0,8.2,Германия ,D ,215.0,Euro 4 ,600000.0
Mercedes-Benz,2021,53767.0,серый,65250.0,автоматическая,полный,1 владелец,3.0,435.0,бензиновый ,АИ-98 ,5.3,9.3,Германия ,E ,250.0,Euro 6 ,10650000.0
Kia,2019,111265.0,серебристый,5250.0,автоматическая,передний,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,11.1,7.9,Южная Корея ,C ,181.0,Euro 5 ,2068000.0
Lada,2021,74000.0,белый,2825.0,вариатор,передний,1 владелец,1.6,113.0,бензиновый ,АИ-92 ,11.3,7.1,Россия ,B ,175.0,Euro 5 ,1230000.0
Honda,2008,163218.0,серый,5100.0,автоматическая,полный,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,12.2,8.2,Япония ,C ,177.0,Euro 0,1385000.0
Audi,2016,116000.0,синий,49950.0,роботизированная,полный,3 или более,3.0,333.0,бензиновый ,АИ-95 ,5.3,7.6,Германия ,E ,250.0,Euro 6 ,3020000.0
Mitsubishi,2012,180000.0,белый,4900.0,вариатор,передний,2 владельца,1.8,140.0,бензиновый ,АИ-95 ,13.1,7.6,Япония ,C ,186.0,Euro 4 ,1100000.0
Toyota,2021,52000.0,чёрный,18675.0,автоматическая,передний,3 или более,3.5,249.0,бензиновый ,АИ-92 ,7.7,8.7,Япония ,D ,220.0,Euro 6 ,3617000.0
Infiniti,2019,55000.0,синий,18675.0,вариатор,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,7.3,8.6,Япония ,D ,220.0,Euro 0,3600000.0
Honda,2008,173900.0,серебристый,5250.0,автоматическая,полный,1 владелец,2.0,150.0,бензиновый ,АИ-95 ,12.2,8.2,Япония ,C ,177.0,Euro 0,1430000.0
Audi,2021,19641.0,серый,18675.0,автоматическая,полный,1 владелец,3.0,249.0,дизельный ,ДТ ,6.9,8.0,Германия ,E ,225.0,Euro 0,8000000.0
Ford,2014,60100.0,серый,2625.0,механическая,передний,1 владелец,1.6,105.0,бензиновый ,АИ-95 ,12.3,5.9,США ,C ,187.0,Euro 5 ,898000.0
Volkswagen,2012,175277.0,чёрный,3050.0,механическая,передний,2 владельца,1.4,122.0,бензиновый ,АИ-95 ,10.9,6.5,Германия ,C ,185.0,Euro 5 ,1150000.0
